Here is the updated CSV content:

, Residential Aged Care Home Expenditure for the quarter 1 April to 30 June 2025,,,,,,
,,Total Residential,,ACH Valley View,ACH Riverbank,ACH Meadowfield,
,Care Expenses,,,,,,
,Labour Costs - Direct Care:,,,,,,
,◦ Registered nurses,$47696.00,$30189.00,$42059.00,
,◦ Enrolled nurses (registered with the NMBA) ,$50621.20,$36205.52,$98036.27,
,◦ Personal care workers / assistant in nursing,$42298.00,$34110.00,$26698.00,
,◦ Care management staff,$75426.17,$46618.44,$134943.76,
,◦ Allied health ,$72213.12,$65764.84,$125236.30,calculated
, - Physiotherapist ,$0.00,$0.00,$0.00,
, - Occupational therapist,$0.00,$0.00,$0.00,
, - Speech pathologist,$0.00,$0.00,$0.00,
, - Podiatrist,$0.00,$0.00,$0.00,
, - Dietetic care,$0.00,$0.00,$0.00,Linked to Food & Nutrition tab
, - Other allied health,$0.00,$0.00,$0.00,
, - Allied health assistants,$0.00,$0.00,$0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer,$38210.00,$70036.00,$26078.00,
,Total Employee Labour Costs - Direct Care,$37181.36,$65167.36,$95427.89,calculated
,Agency Staff Costs - Direct Care Detail,,,,,,
,◦ Registered nurses,$0.00,$0.00,$0.00,
,◦ Enrolled nurses (registered with the NMBA) ,$0.00,$0.00,$0.00,
,◦ Personal care workers / assistant in nursing,$0.00,$0.00,$0.00,
,◦ Care management staff,$0.00,$0.00,$0.00,
,◦ Allied health ,$0.00,$0.00,$0.00,calculated
, - Physiotherapist ,$0.00,$0.00,$0.00,
, - Occupational therapist,$0.00,$0.00,$0.00,
, - Speech pathologist,$0.00,$0.00,$0.00,
, - Podiatrist,$0.00,$0.00,$0.00,
, - Dietetic care,$0.00,$0.00,$0.00,Linked to Food & Nutrition tab
, - Other allied health,$0.00,$0.00,$0.00,
, - Allied health assistants,$0.00,$0.00,$0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,$0.00,$0.00,$0.00,
,Total Agency Staff Cost - Direct Care,$0.00,$0.00,$0.00,calculated
,Total Direct Care Labour Costs,$37181.36,$65167.36,$95427.89,calculated
,,,,,,,
,,,,,,,
,Labour Hours,,,,,,
,Labour Worked Hours - Direct Care:,,,,,,
,◦ Registered nurses,494.00,349.00,363.00,calculated
," - Morning Shift ((e.g., 7am-3pm)",494.00,435.00,363.00,
," - Afternoon Shift(e.g.,3pm-11pm)",349.00,713.00,798.00,
," - Overnight Shift(e.g.,11pm-7am)",483.00,322.00,772.00,
,◦ Enrolled nurses (registered with the NMBA) ,0.00,0.00,0.00,
,◦ Personal care workers / assistant in nursing,733.00,673.00,493.00,
,◦ Care management staff,0.00,0.00,0.00,
,◦ Allied health ,0.00,0.00,0.00,calculated
, - Physiotherapist ,0.00,0.00,0.00,
, - Occupational therapist,0.00,0.00,0.00,
, - Speech pathologist,0.00,0.00,0.00,
, - Podiatrist,0.00,0.00,0.00,
, - Dietetic care,0.00,0.00,0.00,Linked to Food & Nutrition tab
, - Other allied health,0.00,0.00,0.00,
, - Allied health assistants,0.00,0.00,0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,0.00,0.00,0.00,
,Total Employee Direct Care Worked Hours,0.00,0.00,0.00,calculated
,Agency Staff Worked Hours - Direct Care Detail,,,,,,
,◦ Registered nurses,0.00,0.00,0.00,calculated
," - Morning Shift (e.g., 7am-3pm)",0.00,0.00,0.00,
," - Afternoon Shift(e.g.,3pm-11pm)",0.00,0.00,0.00,
," - Overnight Shift(e.g.,11pm-7am)",0.00,0.00,0.00,
,◦ Enrolled nurses (registered with the NMBA) ,0.00,0.00,0.00,
,◦ Personal care workers / assistant in nursing,0.00,0.00,0.00,
,◦ Care management staff,0.00,0.00,0.00,
,◦ Allied health ,0.00,0.00,0.00,calculated
, - Physiotherapist ,0.00,0.00,0.00,
, - Occupational therapist,0.00,0.00,0.00,
, - Speech pathologist,0.00,0.00,0.00,
, - Podiatrist,0.00,0.00,0.00,
, - Dietetic care,0.00,0.00,0.00,Linked to Food & Nutrition tab
, - Other allied health,0.00,0.00,0.00,
, - Allied health assistants,0.00,0.00,0.00,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,0.00,0.00,0.00,
,Total Agency Staff Worked Hours - Direct Care,0.00,0.00,0.00,calculated
,Total Direct Care Labour Worked Hours,0.00,0.00,0.00,calculated
,,,,,,,
,Non-worked hours (for all categories above),,,,,,
,◦ Non-worked hours,0.00,0.00,0.00,
,,,,,,,
,Labour - Hourly Rates of Pay,,,,,,
,◦ Registered nurses - Highest Rate,$55.26,$60.87,$54.45,
,◦ Registered nurses - Average Rate,$47.12,$51.70,$44.82,
,◦ Registered nurses - Lowest Rate,$38.97,$42.53,$35.19,
,◦ Enrolled nurses (registered with the NMBA) - Highest Rate,$75.99,$50.69,$69.09,
,◦ Enrolled nurses (registered with the NMBA) - Average Rate,$69.18,$43.92,$62.99,
,◦ Enrolled nurses (registered with the NMBA) - Lowest Rate,$62.37,$37.14,$56.89,
,◦ Personal care workers / assistant in nursing - Highest Rate,$51.73,$68.46,$56.35,
,◦ Personal care workers / assistant in nursing - Average Rate,$46.38,$59.95,$47.51,
,◦ Personal care workers / assistant in nursing - Lowest Rate,$41.03,$51.44,$38.67,
,,,,,,,
,Bed Days,,,,,,
,◦ Occupied bed days,6161.00,5435.00,5810.00,
,◦ Available bed days,6291.00,5612.00,5977.00,
,,,,,,,
,Direct Care Minutes (worked) Per Occupied Bed Day,,,,,,
,◦ Registered nurses care minutes per occupied bed day,0.00,0.00,0.00,calculated
,◦ Enrolled nurses (registered with the NMBA) care minutes per occupied bed day,0.00,0.00,0.00,calculated
,◦ Personal care workers / assistant in nursing care minutes per occupied bed day,0.00,0.00,0.00,calculated
,"Total direct care minutes (worked) of Registered nurses, Enrolled nurses(registered with the NMBA) and Personal care workers/Assistant in nursing per occupied bed day",0.00,0.00,0.00,calculated
,,,,,,,
,Outbreak Management Expenses,,,,,,
,"Outbreak Management Expenses relate to all outbreak management expenses and is not just limited to direct care expenses.
The values reported in this section are independent of the care labour costs reported above and are not required to add to a total. Do not reduce the care labour expenses by the amounts reported in the Outbreak Management Expense section.",,,,,,
,◦ Infection Prevention and Control (IPC) lead costs,$19363.00,$46789.00,$38077.00,
,◦ Residential Support costs,$27359.00,$45322.00,$48242.00,
,◦ Preventative measures costs,$19150.00,$27219.00,$36175.00,
,◦ Employee and agency labour costs,$26162.00,$58956.00,$33723.00,
